url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,tipe properti,sertifikat,daya listrik,jumlah lantai,id iklan,kt. pembantu,km. pembantu,tahun dibangun,kondisi properti,carport,garasi,kondisi perabotan,hadap,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,garages,floors,property condition,furnishing,building orientation
https://www.rumah123.com/properti/jakarta-barat/hos11075691/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Rp,3,Miliar,Chandra Rumah Lt 135m2 Bangunan Bagus di Jelambar,"Jelambar, Jakarta Barat",Jalur Telepon,3,3,135 m²,250 m²,rumah,shm - sertifikat hak milik,4400 mah,3,hos11075691,1,,,bagus,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11075385/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Rp,"5,5",Miliar,Chandra Rumah Kos Baru Uk 8x17m Lokasi Bagus di Jelambar,"Jelambar, Jakarta Barat",Jalur Telepon,10,11,136 m²,336 m²,rumah,shm - sertifikat hak milik,,4,hos11075385,2,,2022,baru,,,furnished,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos9450827/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Rp,"1,88",Miliar,"Rumah Rapih 2 Lantai Lokasi Super Strategis Bandengan, Angke","Angke, Jakarta Barat","Jalur Telepon, AC,  CCTV, Wastafel, Keamanan, Tempat Jemuran",5,3,160 m²,300 m²,rumah,,6600 mah,2,hos9450827,1,1,1976,sudah renovasi,1,1,unfurnished,selatan,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11039562/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Rp,5,Miliar,"Rumah Dan Siap Huni, Harga Nego, Ada Pool Bangunan Kokoh, Interior Modern","Gandaria, Jakarta Selatan","Taman, Keamanan",4,3,140 m²,355 m²,rumah,shm - sertifikat hak milik,2200 mah,3,hos11039562,1,1,2022,baru,2,,unfurnished,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11075824/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Rp,5,Miliar,Rumah Garden House PIK Luas Tanah 130 m2 Sudah Renov Termurah,"Pantai Indah Kapuk, Jakarta Utara","Kolam Renang, Taman,  Jogging Track,  Ac,  Kolam Renang, Keamanan 24 jam, AC,  CCTV, Track Lari, Keamanan, CCTV,  Taman",4,3,130 m²,182 m²,rumah,shm - sertifikat hak milik,5500 mah,2,hos11075824,1,1,,bagus sekali,2,,semi furnished,timur laut,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos10789743/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Rp,"3,3",Miliar,Rumah Dijual di Rawamangun By Rita Pang,"Rawamangun, Jakarta Timur","Taman,  Jogging Track,  Keamanan, Jalur Telepon,  Masjid",3,2,135 m²,200 m²,rumah,shm - sertifikat hak milik,2200 mah,3,hos10789743,1,,2000,,2,,semi furnished,barat,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11074240/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Rp,"3,15",Miliar,"Dijual Brand New Rumah 8x12.5 PIK2, TERMURAH!","Pantai Indah Kapuk, Jakarta Utara"," Kolam Renang,  Jalur Telepon, Jogging Track, Keamanan,  Taman",3,3,100 m²,120 m²,rumah,"lainnya (ppjb,girik,adat,dll)",4400 mah,2,hos11074240,1,1,2022,baru,2,,unfurnished,selatan,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11004265/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Rp,780,Juta,"Rumah Mewah di Pulogadung,Jakarta timur","Pulo Gadung, Jakarta Timur",Ac,3,3,37 m²,68 m²,rumah,shm - sertifikat hak milik,2200 mah,2,hos11004265,,,2022,baru,1,,unfurnished,barat,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11004265/#qid~1608da07-ed77-470e-a22b-0840f104913d,Rp,780,Juta,"Rumah Mewah di Pulogadung,Jakarta timur","Pulo Gadung, Jakarta Timur",Ac,3,3,37 m²,68 m²,rumah,shm - sertifikat hak milik,2200 mah,2,hos11004265,,,2022,baru,1,,unfurnished,barat,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos9775807/#qid~1608da07-ed77-470e-a22b-0840f104913d,Rp,495,Juta,RUMAH 2 LANTAI MURAH MERIAH MODEL MINIMALIS  MONCOKERTO UTAN KAYU JAKARTA TIMUR,"Utan Kayu, Jakarta Timur",Keamanan,2,1,17 m²,33 m²,rumah,shm - sertifikat hak milik,2200 mah,2,hos9775807,,,2022,baru,,,unfurnished,,,,,,,,,,,,,,,
