,price_in_rp,city,lat,long,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,certificate,maid_bedrooms,maid_bathrooms,floors,property_condition,garages,furnishing,electricity_num,fac_tempat_jemuran,fac_jalur_telepon,fac_jogging_track,fac_kolam_renang,fac_masjid,fac_keamanan,fac_cctv,fac_kitchen_set,fac_one_gate_system,fac_akses_parkir,fac_playground,fac_wastafel,fac_ac,fac_lapangan_basket,fac_tempat_gym,fac_kolam_ikan,fac_lapangan_voli,fac_lapangan_tenis,fac_lapangan_bola,fac_mesin_cuci,fac_lapangan_bulu_tangkis,fac_kulkas,fac_garden,fac_water_heater,fac_canopy,fac_smart_home,fac_backyard_luas,fac_garasi,fac_balkon,fac_pompa_air_wasser_dan_booster,fac_kompor_exhaust,fac_basement,fac_gudang,fac_clubhouse,fac_service_area,fac_plumbing_system
56,275000000.0, Bekasi,-6.2849775,106.970127,2.0,1.0,60.0,36.0,1,shm - sertifikat hak milik,0,0,1.0,baru,1,semi furnished,1300.0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,300000000.0, Bekasi,-6.2849775,106.970127,2.0,2.0,70.0,70.0,1,shm - sertifikat hak milik,0,0,1.0,bagus,1,semi furnished,1300.0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1440000000.0, Bekasi,-6.2849775,106.970127,2.0,2.0,55.0,60.0,1,shm - sertifikat hak milik,1,0,2.0,baru,0,semi furnished,2200.0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,764000000.0, Bekasi,-6.2849775,106.970127,3.0,3.0,78.0,83.0,1,shm - sertifikat hak milik,0,0,2.0,baru,0,unfurnished,2200.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,764000000.0, Bekasi,-6.2849775,106.970127,3.0,3.0,78.0,83.0,2,shm - sertifikat hak milik,0,0,2.0,baru,0,unfurnished,2200.0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,495000000.0, Bekasi,-6.2849775,106.970127,2.0,1.0,86.0,45.0,1,shm - sertifikat hak milik,0,0,1.0,baru,1,semi furnished,1300.0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1500000000.0, Bekasi,-6.2849775,106.970127,4.0,3.0,100.0,136.0,2,shm - sertifikat hak milik,1,1,2.0,baru,2,semi furnished,2200.0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,300000000.0, Bekasi,-6.358777,107.0348331,2.0,1.0,60.0,36.0,1,shm - sertifikat hak milik,0,0,1.0,baru,1,unfurnished,1300.0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,365000000.0, Bekasi,-6.358777,107.0348331,2.0,1.0,60.0,36.0,1,shm - sertifikat hak milik,0,0,1.0,baru,0,unfurnished,1300.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,350000000.0, Bekasi,-6.358777,107.0348331,2.0,1.0,60.0,38.0,1,shm - sertifikat hak milik,0,1,1.0,baru,0,unfurnished,1300.0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
